optimizer	lr	weight_decay	dropout_p	initializer	activation	training_frac	seed
adam	0.00015737732266424728	0.005194823848335521	0.3491664939073059	orthogonal	relu	0.1	534895718
sgd	0.0015496061011815554	0.00011847984224846909	0.44272932028498707	orthogonal	relu	0.1	199900595
adam	0.0012826630733518698	3.800086288815975e-07	0.3460590777744437	xavier	relu	0.1	862061404
adam	0.00013296824447561002	1.33464945668918e-05	0.010467821483808759	he	tanh	1.0	787846414
sgd	0.012019577756946542	7.425972130631332e-06	0.4903588585658549	xavier	relu	1.0	996406378
adam	0.006948900646823275	7.206599165954347e-05	0.4180911974859706	orthogonal	relu	0.1	127521863
adam	0.019322724222650977	0.003962789699703401	0.4006781771347869	he	relu	1.0	423734972
adam	0.0015156716079932973	6.172457158747937e-07	0.11119475913914029	he	tanh	0.1	415968276
adam	0.00012584670617202668	4.663637145941539e-08	0.49220037399849453	xavier	tanh	0.25	670094950
adam	0.0276379943130192	0.005772935925763274	0.0004761562013879117	he	tanh	0.1	841095289
sgd	0.0029784525217510633	5.981144013375701e-08	0.3773407088762308	orthogonal	relu	0.1	669991378
adam	0.000704575915857369	8.682922075865353e-06	0.32910477560967094	he	relu	0.25	429389014
sgd	0.001535166595424104	9.990552720449409e-05	0.13132442276360862	xavier	tanh	0.5	249467210
adam	0.0003453647691074934	0.0003648465838709896	0.4998739783935332	orthogonal	tanh	0.25	898717130
sgd	0.015219064340859862	0.0001213966365681366	0.25805544349129067	orthogonal	tanh	0.25	498972759
sgd	0.04988116252815303	0.0003783062194291238	0.23482903001823785	orthogonal	relu	0.1	359525748
sgd	9.488304620486043e-05	1.0134301901087028e-07	0.18902391903483773	he	tanh	1.0	434285667
adam	0.000803796010002499	0.008839318532302066	0.06159202315084977	orthogonal	tanh	0.5	613608295
sgd	0.01075243489347102	2.2601645798748875e-06	0.48305186146603263	orthogonal	relu	1.0	893664919
adam	0.003433030725892499	0.0003690914887296239	0.32490861423826695	orthogonal	tanh	0.5	648061058
sgd	0.00038221714432970863	6.451511561411285e-08	0.4267358242872876	he	relu	1.0	88409749
adam	0.003950047609887086	2.0282063772716793e-07	0.0447929133135066	he	tanh	0.1	242285876
adam	0.00020747931982572412	1.2343079684925944e-06	0.2671491690803756	he	tanh	0.5	944505601
adam	0.007457553259467084	1.7513239449024966e-08	0.3592293961945603	orthogonal	tanh	0.25	953477463
sgd	8.286500486559507e-05	0.0018777226559737613	0.09788875259876723	orthogonal	relu	1.0	354088427
adam	0.00025781698201929657	0.0002727892574834094	0.42598505437170014	xavier	relu	1.0	809827741
adam	0.0025881661320275805	3.4155237322286397e-07	0.14109514921055627	xavier	tanh	0.25	911989541
adam	0.00013157830649667996	5.5604413184727214e-08	0.21798361218847428	orthogonal	relu	0.25	3344769
sgd	0.000779849060653954	3.174913931685454e-05	0.32408834174407	xavier	tanh	0.5	780932287
adam	0.001638688810630287	7.188383208296425e-07	0.1030665285592417	he	relu	0.5	787716372
sgd	0.023867195337913535	1.0986100380242719e-06	0.1376137838076943	xavier	relu	0.1	504579232
sgd	0.0039114356433737505	4.4622978810305873e-07	0.3730679739437728	orthogonal	relu	0.5	232968651
adam	0.001997399624440464	1.2314340999525438e-05	0.14042680089436232	he	relu	0.1	479546681
sgd	0.000659716956100672	0.000495556581817855	0.437858556524628	he	tanh	0.5	106328085
sgd	0.0020761093199096964	8.05914454835235e-05	0.48099876403687053	xavier	relu	0.5	30349564
sgd	0.02808187036427977	5.291468522242341e-08	0.04168210070123801	he	tanh	0.25	781447915
sgd	0.025036140055209755	0.006491687202056429	0.0898199873234336	orthogonal	tanh	0.1	99052376
